343_I1I2C  PlanarCoordinateData:NONE
344_I1I2C  SoundCharacteristics:NONE
345_I1I2C  ProjectionCharacteristicsofMovingImage:NONE
346_I1I2C  VideoCharacteristics:NONE
347_I1I2C  DigitalFileCharacteristics:NONE
348_I1I2C  FormatofNotatedMusic:NONE
351_I1I2C  OrganizationandArrangementofMaterials:NONE
352_I1I2C  DigitalGraphicRepresentation:NONE
355_I1I2C  SecurityClassificationControl:NONE
357_I1I2C  OriginatorDisseminationControl:NONE
362_I1I2C  DatesofPublicationandSequentialDesignation:NONE
363_I1I2C  NormalizedDateandSequentialDesignation:NONE
365_I1I2C  TradePrice:NONE
366_I1I2C  TradeAvailabilityInformation:NONE
370_I1I2C  AssociatedPlace:NONE
377_I1I2C  AssociatedLanguage:NONE
380_I1I2C  FormofWork:NONE
381_I1I2C  OtherDistinguishingCharacteristicsofWorkorExpression:NONE
382_I1I2C  MediumofPerformance:NONE
383_I1I2C  NumericDesignationofMusicalWork:NONE
384_I1I2C  Key:NONE
385_I1I2C  AudienceCharacteristics:NONE
386_I1I2C  CreatorContributorCharacteristics:NONE
388_I1I2C  TimePeriodofCreation:NONE
490_I1I2C  SeriesStatement:NONE
500_I1I2C  GeneralNote:NONE
501_I1I2C  WithNote:NONE
502_I1I2C  DissertationNote:NONE
504_I1I2C  Bibliography:NONE
505_I1I2C  FormattedContentsNote:NONE
506_I1I2C  RestrictionsonAccessNote:NONE
507_I1I2C  ScaleNoteforGraphicMaterial:NONE
508_I1I2C  CreationProductionCreditsNote:NONE
510_I1I2C  CitationReferencesNote:NONE
511_I1I2C  ParticipantorPerformerNote:NONE
513_I1I2C  TypeofReportandPeriodCoveredNote:NONE
514_I1I2C  DataQualityNote:NONE
515_I1I2C  NumberingPeculiaritiesNote:NONE
516_I1I2C  TypeofComputerFileorDataNote:NONE
518_I1I2C  DateTimeandPlaceofanEventNote:NONE
520_I1I2C  Summary:NONE
521_I1I2C  TargetAudienceNote:NONE
522_I1I2C  GeographicCoverageNote:NONE
524_I1I2C  PreferredCitationofDescribedMaterialsNote:NONE
525_I1I2C  SupplementNote:NONE
526_I1I2C  StudyProgramInformationNote:NONE
530_I1I2C  AdditionalPhysicalFormavailableNote:NONE
532_I1I2C  AccessibilityNote:NONE
533_I1I2C  ReproductionNote:NONE
534_I1I2C  OriginalVersionNote:NONE
535_I1I2C  LocationofOriginals/DuplicatesNote:NONE
536_I1I2C  FundingInformationNote:NONE
538_I1I2C  SystemDetailsNote:NONE
540_I1I2C  TermsGoverningUseandReproductionNote:NONE
541_I1I2C  ImmediateSourceofAcquisitionNote:NONE
542_I1I2C  InformationRelatingtoCopyrightStatus:NONE
544_I1I2C  LocationofOtherArchivalMaterialsNote:NONE
545_I1I2C  BiographicalorHistoricalData:NONE
546_I1I2C  LanguageNote:NONE
547_I1I2C  FormerTitleComplexityNote:NONE
550_I1I2C  IssuingBodyNote:NONE
552_I1I2C  EntityandAttributeInformationNote:NONE
555_I1I2C  CumulativeIndexFindingAidsNote:NONE
556_I1I2C  InformationAboutDocumentationNote:NONE
561_I1I2C  OwnershipandCustodialHistory:NONE
562_I1I2C  CopyandVersionIdentificationNote:NONE
563_I1I2C  BindingInformation:NONE
565_I1I2C  CaseFileCharacteristicsNote:NONE
567_I1I2C  MethodologyNote:NONE
580_I1I2C  LinkingEntryComplexityNote:NONE
581_I1I2C  PublicationsAboutDescribedMaterialsNote:NONE
583_I1I2C  ActionNote:NONE
584_I1I2C  AccumulationandFrequencyofUseNote:NONE
585_I1I2C  ExhibitionsNote:NONE
586_I1I2C  AwardsNote:NONE
588_I1I2C  SourceofDescription:NONE
59X_I1I2C  LocalNotes:NONE
600_I1I2C  SubjectAddedEntryPersonalName:NONE
610_I1I2C  SubjectAddedEntryCorporateName:NONE
611_I1I2C  SubjectAddedEntryMeetingName:NONE
630_I1I2C  SubjectAddedEntryUniformTitle:NONE
647_I1I2C  SubjectAddedEntryNamedEvent:NONE
648_I1I2C  SubjectAddedEntryChronologicalTerm:NONE
650_I1I2C  SubjectAddedEntryTopicalTerm:NONE
651_I1I2C  SubjectAddedEntryGeographicName:NONE
653_I1I2C  IndexTermUncontrolled:NONE
654_I1I2C  SubjectAddedEntry-FacetedTopicalTerms:NONE
655_I1I2C  IndexTermGenreForm:NONE
656_I1I2C  IndexTermOccupation:NONE
657_I1I2C  IndexTermFunction:NONE
658_I1I2C  IndexTermCurriculumObjective:NONE
662_I1I2C  SubjectAddedEntryHierarchicalPlaceName:NONE
69X_I1I2C  LocalSubjectAccessFields:NONE
700_I1I2C  AddedEntryPersonalName:NONE
710_I1I2C  AddedEntryCorporateName:NONE
711_I1I2C  AddedEntryMeetingName:NONE
720_I1I2C  AddedEntryUncontrolledName:NONE
730_I1I2C  AddedEntryUniformTitle:NONE
740_I1I2C  AddedEntryUncontrolledRelated/AnalyticalTitle:NONE
751_I1I2C  AddedEntryGeographicName:NONE
752_I1I2C  AddedEntryHierarchicalPlaceName:NONE
753_I1I2C  SystemDetailsAccesstoComputerFiles:NONE
754_I1I2C  AddedEntryTaxonomicIdentification:NONE
758_I1I2C  ResourceIdentifier:NONE
760_I1I2C  MainSeriesEntry:NONE
762_I1I2C  SubseriesEntry:NONE
765_I1I2C  OriginalLanguageEntry:NONE
767_I1I2C  TranslationEntry:NONE
770_I1I2C  SupplementSpecialIssueEntry:NONE
772_I1I2C  SupplementParentEntry:NONE
773_I1I2C  HostItemEntry:NONE
774_I1I2C  ConstituentUnitEntry:NONE
775_I1I2C  OtherEditionEntry:NONE
776_I1I2C  AdditionalPhysicalFormEntry:NONE
777_I1I2C  IssuedWithEntry:NONE
780_I1I2C  PrecedingEntry:NONE
785_I1I2C  SucceedingEntry:NONE
786_I1I2C  DataSourceEntry:NONE
787_I1I2C  OtherRelationshipEntry:NONE
800_I1I2C  SeriesAddedEntryPersonalName:NONE
810_I1I2C  SeriesAddedEntryCorporateName:NONE
811_I1I2C  SeriesAddedEntryMeetingName:NONE
830_I1I2C  SeriesAddedEntryUniformTitle:NONE
841_I1I2C  HoldingsCodedDataValues:NONE
842_I1I2C  TextualPhysicalFormDesignator:NONE
843_I1I2C  ReproductionNote:NONE
844_I1I2C  NameofUnit:NONE
845_I1I2C  TermsGoverningUseandReproduction:NONE
850_I1I2C  HoldingInstitution:NONE
852_I1I2C  Location:NONE
853_I1I2C  CaptionsandPatternBasicBibliographicUnit:NONE
854_I1I2C  CaptionsandPatternSupplementaryMaterial:NONE
855_I1I2C  CaptionsandPatternIndexes:NONE
856_I1I2C  ElectronicLocationandAccess:NONE
863_I1I2C  EnumerationandChronologyBasicBibliographicUnit:NONE
864_I1I2C  EnumerationandChronologySupplementaryMaterial:NONE
865_I1I2C  EnumerationandChronologyIndexes:NONE
866_I1I2C  TextualHoldingsBasicBibliographicUnit:NONE
867_I1I2C  TextualHoldingsSupplementaryMaterial:NONE
868_I1I2C  TextualHoldingsIndexes:NONE
876_I1I2C  ItemInformationBasicBibliographicUnit:NONE
877_I1I2C  ItemInformationSupplementaryMaterial:NONE
878_I1I2C  ItemInformationIndexes:NONE
880_I1I2C  AlternateGraphicRepresentation:NONE
882_I1I2C  ReplacementRecordInformation:NONE
883_I1I2C  MachineGeneratedMetadataProvenance:NONE
884_I1I2C  DescriptionConversionInformation:NONE
885_I1I2C  MatchingInformation:NONE
886_I1I2C  ForeignMARCInformationField:NONE
887_I1I2C  NonMARCInformationField:NONE
﻿001_I1I2C  ControlNumber:NONE
